counts,number of items in equivalence class,isoforms in equivalence class
6,4,"['ENST00000000442', 'ENST00000539594', 'ENST00000677967', 'ENST00000406310']"
20,3,"['ENST00000000442', 'ENST00000677967', 'ENST00000406310']"
1,4,"['ENST00000000442', 'ENST00000677967', 'ENST00000406310', 'ENST00000468670']"
13,1,['ENST00000003302']
14,2,"['ENST00000003302', 'ENST00000538224']"
121,2,"['ENST00000003302', 'ENST00000544967']"
21,6,"['ENST00000005082', 'ENST00000528218', 'ENST00000533036', 'ENST00000526601', 'ENST00000525313', 'ENST00000529228']"
7,9,"['ENST00000005082', 'ENST00000528796', 'ENST00000533036', 'ENST00000530643', 'ENST00000525313', 'ENST00000354599', 'ENST00000526501', 'ENST00000399602', 'ENST00000525502']"
22,6,"['ENST00000005082', 'ENST00000620374', 'ENST00000343338', 'ENST00000354599', 'ENST00000429541', 'ENST00000399602']"
187,7,"['ENST00000005082', 'ENST00000620374', 'ENST00000343338', 'ENST00000526601', 'ENST00000354599', 'ENST00000429541', 'ENST00000399602']"
8,8,"['ENST00000005082', 'ENST00000620374', 'ENST00000343338', 'ENST00000526601', 'ENST00000438262', 'ENST00000354599', 'ENST00000429541', 'ENST00000399602']"
58,9,"['ENST00000005082', 'ENST00000620374', 'ENST00000343338', 'ENST00000526601', 'ENST00000438262', 'ENST00000354599', 'ENST00000528410', 'ENST00000429541', 'ENST00000399602']"
9,5,"['ENST00000005082', 'ENST00000620374', 'ENST00000526601', 'ENST00000534569', 'ENST00000399602']"
4,8,"['ENST00000005082', 'ENST00000620374', 'ENST00000528218', 'ENST00000533036', 'ENST00000526601', 'ENST00000525313', 'ENST00000399602', 'ENST00000529228']"
1,9,"['ENST00000005082', 'ENST00000620374', 'ENST00000528218', 'ENST00000533036', 'ENST00000526601', 'ENST00000534569', 'ENST00000525313', 'ENST00000399602', 'ENST00000529228']"
1,1,['ENST00000005286']
3,1,['ENST00000020926']
217,1,['ENST00000039989']
598,2,"['ENST00000039989', 'ENST00000299240']"
97,2,"['ENST00000039989', 'ENST00000418561']"
900,1,['ENST00000054950']
2,1,['ENST00000064778']
814,2,"['ENST00000064778', 'ENST00000356467']"
141,3,"['ENST00000064778', 'ENST00000356467', 'ENST00000450446']"
82,1,['ENST00000064780']
8,2,"['ENST00000064780', 'ENST00000544075']"
28,2,"['ENST00000155840', 'ENST00000335475']"
10,3,"['ENST00000155840', 'ENST00000335475', 'ENST00000526095']"
275,1,['ENST00000164133']
59,2,"['ENST00000164133', 'ENST00000526559']"
5,1,['ENST00000176195']
33,1,['ENST00000200135']
124,3,"['ENST00000200135', 'ENST00000535142', 'ENST00000538209']"
129,2,"['ENST00000227135', 'ENST00000532692']"
1985,1,['ENST00000227155']
1102,2,"['ENST00000227155', 'ENST00000342935']"
116,3,"['ENST00000227155', 'ENST00000342935', 'ENST00000525210']"
377,3,"['ENST00000227155', 'ENST00000342935', 'ENST00000530601']"
2120,2,"['ENST00000227155', 'ENST00000524750']"
4,5,"['ENST00000227155', 'ENST00000526958', 'ENST00000524704', 'ENST00000532544', 'ENST00000342935']"
34,5,"['ENST00000227155', 'ENST00000526958', 'ENST00000527737', 'ENST00000532544', 'ENST00000530601']"
238,2,"['ENST00000227155', 'ENST00000530601']"
16,1,['ENST00000227157']
10039,7,"['ENST00000227157', 'ENST00000430553', 'ENST00000540430', 'ENST00000379412', 'ENST00000396222', 'ENST00000422447', 'ENST00000545215']"
1709,6,"['ENST00000227157', 'ENST00000430553', 'ENST00000540430', 'ENST00000379412', 'ENST00000422447', 'ENST00000545215']"
2302,7,"['ENST00000227157', 'ENST00000430553', 'ENST00000542179', 'ENST00000540430', 'ENST00000379412', 'ENST00000422447', 'ENST00000545215']"
1036,10,"['ENST00000227157', 'ENST00000430553', 'ENST00000542179', 'ENST00000540430', 'ENST00000379412', 'ENST00000536528', 'ENST00000486690', 'ENST00000396222', 'ENST00000422447', 'ENST00000545215']"
771,9,"['ENST00000227157', 'ENST00000430553', 'ENST00000542179', 'ENST00000540430', 'ENST00000379412', 'ENST00000536528', 'ENST00000486690', 'ENST00000422447', 'ENST00000545215']"
4882,11,"['ENST00000227157', 'ENST00000430553', 'ENST00000542179', 'ENST00000540430', 'ENST00000379412', 'ENST00000536528', 'ENST00000543695', 'ENST00000486690', 'ENST00000396222', 'ENST00000422447', 'ENST00000545215']"
390,10,"['ENST00000227157', 'ENST00000539814', 'ENST00000430553', 'ENST00000536528', 'ENST00000543695', 'ENST00000396222', 'ENST00000422447', 'ENST00000545467', 'ENST00000545215', 'ENST00000541097']"
14,12,"['ENST00000227157', 'ENST00000539814', 'ENST00000430553', 'ENST00000536528', 'ENST00000543695', 'ENST00000543445', 'ENST00000422447', 'ENST00000545467', 'ENST00000545215', 'ENST00000535451', 'ENST00000396222', 'ENST00000541097']"
254,12,"['ENST00000227157', 'ENST00000539814', 'ENST00000540430', 'ENST00000430553', 'ENST00000542179', 'ENST00000422447', 'ENST00000379412', 'ENST00000495052', 'ENST00000543445', 'ENST00000478970', 'ENST00000396222', 'ENST00000541097']"
3013,13,"['ENST00000227157', 'ENST00000539814', 'ENST00000540430', 'ENST00000430553', 'ENST00000542179', 'ENST00000422447', 'ENST00000379412', 'ENST00000495052', 'ENST00000543445', 'ENST00000478970', 'ENST00000535451', 'ENST00000396222', 'ENST00000541097']"
574,13,"['ENST00000227157', 'ENST00000539814', 'ENST00000540430', 'ENST00000430553', 'ENST00000542179', 'ENST00000422447', 'ENST00000379412', 'ENST00000495052', 'ENST00000543445', 'ENST00000478970', 'ENST00000545467', 'ENST00000396222', 'ENST00000541097']"
524,17,"['ENST00000227157', 'ENST00000539814', 'ENST00000540430', 'ENST00000430553', 'ENST00000542179', 'ENST00000422447', 'ENST00000379412', 'ENST00000536528', 'ENST00000486690', 'ENST00000495052', 'ENST00000543445', 'ENST00000478970', 'ENST00000545467', 'ENST00000545215', 'ENST00000535451', 'ENST00000396222', 'ENST00000541097']"
755,18,"['ENST00000227157', 'ENST00000539814', 'ENST00000540430', 'ENST00000430553', 'ENST00000542179', 'ENST00000422447', 'ENST00000379412', 'ENST00000536528', 'ENST00000543695', 'ENST00000486690', 'ENST00000495052', 'ENST00000543445', 'ENST00000478970', 'ENST00000545467', 'ENST00000545215', 'ENST00000535451', 'ENST00000396222', 'ENST00000541097']"
